News Item,Ethicality,Visibility,Accountability
Massacre of Al-Atbash family near Al-Abbas intersection,1,9,10
Settler attack on a Christian family in Birzeit,2,8,9
Recurring pogroms in Khillat al-Sidra area of Mukhmas,1,8,9
Israeli soldiers storm a wedding hall in Al-Eizariya,1,8,9
Night attack on school facilities in Jalud,1,8,9
Siege on Al-Sila Al-Harithiya,2,7,8
Raid on Birzeit University,2,7,8
Settler assault on the village of Deir Jarir,1,8,9
Military raid on Qalanqiya and Kafr Aqab,2,7,8
Israeli raid on Palestinian universities (West Bank),2,7,8
Violent settlers and soldiers attack in the Al-Khalayel area of Al-Mughayyir village,1,8,9
Bloody pogrom in Khalayel al-Louz,1,8,9
Extrajudicial executions during Operation Five Stones in Jenin,1,9,10
Summary execution of Amr al-Marbou 18 and Sami Mashayekh 16 in Kafr Aqab,1,9,10
Summary execution of Abdul Rahman Darawsha,1,9,10
Summary execution of Jamil Atef Jamil Hanani 17,1,9,10
Pogroms in Al-Ladain area between Beit Lid and Kafr Qaddum,1,8,9
House assaulted and set on fire during a raid on Aboud town,1,8,9
Deadly raid in Awarta and Einabus,1,8,9
Child Atta Mamoun Atta Mai drowned in a well,3,5,6
Settlers attack on a pregnant woman and her children,1,9,10
Gaza babies die from hypothermia (Winter 25-26),1,9,10
Demolition order at the historic gravesite,2,7,8
Execution of two Palestinians in Hebron,1,9,10
Demolition of a Palestinian-owned factory in Beit Ula,2,7,8
Settler and soldier pressure on Beit Sahour community,2,7,8
Unprecedented arrest campaign in the West Bank,2,8,9
Raid on the Palestinian Union of Agricultural Work Committees,2,7,8
Bloody pogrom in Khalayel al-Louz (repeat),1,8,9
Extrajudicial executions during Operation Five Stones in Jenin (repeat),1,9,10
Israeli settler vandalizing a Palestinian home in Silwad,2,7,8
Extrajudicial execution of Sultan Nidal Abdel Aziz after besieging his house,1,9,10
Israeli harassment of the al-Hadidiya Bedouin community,2,7,8
Operation New Order to restore governance in the Negev,3,6,7
Evacuation of a Palestinian cultural event in the Hakawati Theatre (Jerusalem),3,6,7
Summary execution of Baraa Khairy Maali in Deir Jarir,1,9,10
Settlers set five villas on fire in the village of Al-Lubban al-Sharqiya,1,8,9
Settlers arson on a car scrapyard in Huwara,2,7,8
Raid and detention campaign in Nablus governorate,2,7,8
Raid and retaliation campaign after the Etzion operation,2,6,7
Massacre in Ain al-Hilweh refugee camp (South Lebanon),1,9,10
Attack on journalist Fadi Yassin while covering a protest in Tulkarm,1,8,9
Pogrom in Al-Jab'a village,1,8,9
Summary execution of Jad Jihad Jadallah 14 y/o,1,9,10
Assassination of Hassan Mousa Sharkazi 16 y/o,1,9,10
Execution of the 2 children Muhammad Mahmoud Abu Ayyash and Bilal Bahaa Baaran,1,9,10
Summary execution of Abdul Rahman Darawsha (repeat),1,9,10
Israeli settlers set fire to a Palestinian home in Abu Falah,1,8,9
Dozens of journalists activists and PRCS crews assaulted by settlers in Beita,1,9,10
Ethnic cleansing in Fasayil al-Wusta,1,8,9
Summary execution of Muhammad Tayem and Muhammad Qasim near the apartheid wall,1,9,10
Al-Mughayyir under Closed Military Zone for 48 hours,2,7,8
Summary execution of Murad Fawzi Yousef Abu Seifen 15 in Yamoun,1,9,10
Promotion of the death penalty against Palestinian detainees in Israeli detention camps,1,9,10
Murder of Ahmad Rebhi al-Atrash by a settler,1,9,10
Blinding of a schoolboy in Beit Awwa,1,9,10
Settler attacks on agricultural facilities in Samua (Hebron),2,7,8
Assassination of Muhammad Bassam Al-Shaour (20 y/o),1,9,10
Military raid on commercial street in Al-Ram,2,7,8
Dozens of settlers carried out a pogrom and set fire to properties in Al-Sidra (Mukhmas),1,8,9
Assassination of Muhammad Abu Hanin (18) from Askar Camp,1,9,10
Stealing home for an outpost in Sarora (Masafer Yatta),1,8,9
Abduction and torture of 6 young Palestinians,1,9,10
Israel kills 4 displaced at Al-Sardi school,1,9,10
Assassination of Majed Mohammad Dawood 42 y/o in Al-Ein RC,1,9,10
Israeli forces raid Tubas in major retaliatory operation,2,7,8
Bloody pogrom in Turmus Ayya during olive harvest,1,8,9
Israel strikes car of the Abu Shaaban family kills 11,1,9,10
Assassination of Mahdi Ahmed Kamil 20 y/o in Qabatiya,1,9,10
Assassination of Mohammed Bahjat Al-Hallaq 9 y/o,1,9,10
Abduction of a mother and her 7 y/o son in Al-Issawyia,1,9,10
Release of Palestinian detainees under October ceasefire deal (West Bank),8,8,2
Assassination of Muhammad Salama,1,9,10
Pogrom in Beita at the start of the olive harvest,1,8,9
Kafr Qaddum under attack and land theft,1,8,9
3 people killed in Al-Zawayda,1,8,9
Al-Nabaheen brothers killed while collecting firewood,1,9,10
Massacre at the Shurrab family charity kitchen,1,9,10
Massacre at the Ghabboun family house,1,9,10
Olive harvest 2025 under attack (West Bank),2,8,9
Israeli strike on press tent at Al-Aqsa Martyrs Hospital,1,9,10
Water truck massacre on Al-Thalathini Street,1,9,10
Falah school double tap,1,9,10
Abu Lahya family massacre,1,9,10
Israel bombing of Al-Qarinawi family house,1,9,10
Al-Sharfa family massacre,1,9,10
Abu Rakab family massacre,1,9,10
Israeli strike on tent in Nuseirat kills 7 people,1,9,10
Assassination of Ahmed Jihad Brahma (21) during a raid on Anza village,1,9,10
Murder of Saeed Murad Al-Nassaan (20 y/o) by settlers in Al-Mughayyir,1,9,10
Bombing of the Palestinian Medical Relief Society center in Gaza City,1,9,10
Mass arrests and abuses in Anin,1,8,9
Raid on Birzeit University (repeat),2,7,8
Al-Jamla family decimated,1,9,10
House besieged and attacked in Surda (Ramallah),1,8,9
Israel bombs vehicle and massacres displaced people from Gaza City,1,9,10
Israel massacres 4 people at Al-Hindi family house,1,9,10
Shelling of Al-Rantisi hospital,1,9,10
Israeli strike on a phone charging station in Gaza City,1,8,9
Palestine Stadium tent massacre,1,9,10
Mohammad Issa Alawi Killed by IDF soldier shot in Deir Jarir,1,9,10
Israeli settlers attack Palestinian property in Atara West Bank,2,7,8
Attack of young man with Down Syndrome in Ein Yabrud,1,9,10
Israel assassinates Hamas negotiators in attack on Qatar,2,8,9
Israeli settler attacks on a plant nursery in Deir Sharaf West Bank,2,7,8
IDF shoots 2 children dead in Jenin refugee camp,1,9,10
Israeli carries out a retaliation campaign following the attack on an Israeli bus in East Jerusalem,3,6,7
IDF and Israeli settlers carry out a pogrom on the village of Al-Shuyukh West Bank,1,8,9
Israel summarily executes Ahmed Abdel Fattah Shehadeh at the Al-Murabba'a checkpoint,1,9,10
Hyperviolent night Pogrom in Khalet al-Dabaa,1,8,9
80 injured in an Israeli Raid on Nablus,1,8,9
Bloody raid on Ramallah,1,8,9
Besieged Palestinian resident by settlers in Biddu-Jabaa,2,7,8
Ethnic cleansing of the Khirbet Ein al-Hilweh,1,9,10
Strike on Amr ibn al-Aas school,1,9,10
Settler violence on Duma and Shukara communities,1,8,9
Destruction of Dr. Ashraf Al-Ajaz's House,1,8,9
Assassination of Hamdan Musa Muhammad Abu Aliya 18 y/o by Israeli soldiers,1,9,10
Shaping operations lands and farmers properties (Khirbet Abu Falah Al-Mughayyir and Turmus Ayya),2,7,8
Thameen Khalil Reda Dawabsheha assassination by Off-duty IDF soldier/settler in Duma,1,9,10
Israel's annihilation of Gaza City ahead of occupation plans,1,9,10
Assassination of Al-Jazeera crew at Al-Shifa hospital,1,9,10
Ethnic cleansing of Ein Ayoub Bedouin community,1,9,10
Demolition of a school under construction in the village of Aqaba,1,8,9
Ethnic cleansing of Deir Hajla community,1,9,10
Al-Masri family massacred at Faysal School,1,9,10
