News Title,Ethicality,Visibility,Accountability
Summary execution of Ndayisaba Mugisha 15 in Kigali,0,9,10
Special forces shot and abducted a driver in Butare,0,7,9
Assassination of Nkurunziza Bizimana by militias in Cyangugu,0,7,9
Assassination of Hakizimana Ruzibiza in Kibuye by soldiers and militia,0,7,9
Detention and torture of infant Kayitesi Mukamusoni,0,9,10
Airstrike on a residential apartment in the Nyarugenge district of Kigali,0,8,10
Militia vehicle attack in Gitarama,0,7,9
Murder of Serhiy Bondarenko by militia during a pogrom in Kherson village,0,8,10
Russian campaign against Dnipro bridges to prevent the population from returning,1,8,9
Massacre of 12 healthcare workers in Izium district Eastern Ukraine,0,9,10
Murder of Dmytro Tkachenko by militia during a pogrom in Zaporizhzhia,0,8,10
Summary execution of 2 men at the Bakhmut checkpoint,0,8,10
2 tent camp massacres in Kharkiv and Kramatorsk,0,9,10
Targeted assassination of Father Vasyl Holovatyi in Bucha,0,8,10
Russian artillery shelling on displacement tents in Sloviansk,0,9,10
3 deaths in a pogrom in Mykolaiv village,0,8,10
Assassination of Oleksandr Kovalenko killed by militia in Kherson region,0,8,10
Massacre of the Petrenko family in Mariupol,0,9,10
Russian special operation in Novoazovsk killed 41 civilians,0,9,10
Russian strikes on Donetsk city kill at least 9,0,9,10
Systematic attack on Ukrainian healthcare workers and hospitals,0,9,10
Educide in Ukraine by Russian forces,0,9,10
Assassination of Serhiy and Mykhailo Bondarenko by a soldier in Kherson,0,8,10
Summary execution of Taras Kovalenko in Bucha district,0,9,10
Massacre of the Shevchenko girls school in Mariupol,0,9,10
Assassination of Oksana Petrenko in Zaporizhzhia village,0,8,10
Pogrom in Izium district,0,8,10
Attacks and ethnic cleansing in Foca,0,9,10
Three Bosnian civilians shot by Serbian forces in Brcko,0,8,10
Raid and campaign of arrest in Srebrenica,0,9,10
Ethnic cleansing of Kozarac area of Prijedor,0,9,10
Summary execution of Selimovic Edin 18 in Banja Luka,0,8,10
Raid and campaign of arrest in Zvornik,0,8,9
Assassination of Mujanovic Damir 19 in Donja Gradina,0,8,10
Massacre of the Huseinovic family in Foca,0,9,10
Massacre of the Kovacevic family in Sarajevo,0,9,10
Massacre of civilians near the Bihac bridge intersection,0,8,10
Militia attack on a Christian family in Irpin,0,8,10
Recurring pogroms in the Bucha district of Kyiv,0,9,10
Russian soldiers storm a wedding hall in Kherson,0,8,10
Night attack on school facilities in Izium,0,8,10
Siege on Mariupol port district,0,8,9
Raid on Kharkiv State University,0,8,9
Militia assault on the village of Lyman,0,8,9
Military raid on Kramatorsk and Soledar,0,8,9
Russian raid on Ukrainian universities Eastern Ukraine,0,8,9
Violent soldiers and militia attack in the outskirts of Donetsk village,0,8,9
Bloody pogrom in Mykolaiv district,0,8,10
Extrajudicial executions during Operation East Wind in Kharkiv,0,9,10
Summary execution of Pavlo Sydorenko 18 and Olena Kovalenko 16 in Irpin,0,9,10
Summary execution of Mykhailo Tkachuk,0,8,10
Summary execution of Andriy Petrenko 17,0,9,10
Pogroms in the Zaporizhzhia industrial zone between Berdiansk and Melitopol,0,8,10
House assaulted and set on fire during a raid on Bijeljina town,0,8,10
Deadly raid in Zvornik and Brcko,0,8,10
Child Selma Hasanovic drowned in a river during forced displacement,0,8,10
Militia attacks a pregnant woman and her children in Foca,0,9,10
Ukrainian babies die from hypothermia Winter 2022-23,0,8,9
Demolition order at the historic cemetery of Lviv,1,6,8
Execution of two Ukrainians in Kherson,0,8,10
Demolition of a Ukrainian-owned factory in Donetsk,1,6,8
Militia and soldier pressure on Kramatorsk community,1,7,9
